"campuskey","month","monthly_generation"
1,"2020-01-01 00:00:00","52882.59366999997"
2,"2020-01-01 00:00:00","41486.8920000004"
3,"2020-01-01 00:00:00","36245.88889999965"
4,"2020-01-01 00:00:00","14548.34360000008"
5,"2020-01-01 00:00:00","4658.265400000018"
1,"2020-02-01 00:00:00","54404.46899999997"
2,"2020-02-01 00:00:00","38376.01000000007"
3,"2020-02-01 00:00:00","35959.14600000049"
4,"2020-02-01 00:00:00","11624.25"
5,"2020-02-01 00:00:00","4173.366899999935"
1,"2020-03-01 00:00:00","55954.06176994015"
2,"2020-03-01 00:00:00","37683.332000000315"
3,"2020-03-01 00:00:00","35961.4417999997"
4,"2020-03-01 00:00:00","12615.906599999813"
5,"2020-03-01 00:00:00","4214.375100000019"
1,"2020-04-01 00:00:00","39923.21413760005"
2,"2020-04-01 00:00:00","25501.66499999989"
3,"2020-04-01 00:00:00","24149.417299999724"
4,"2020-04-01 00:00:00","9037.718400000187"
5,"2020-04-01 00:00:00","2849.437699999995"
1,"2020-05-01 00:00:00","25965.505271999937"
2,"2020-05-01 00:00:00","21723.38399999996"
3,"2020-05-01 00:00:00","22253.174500000227"
4,"2020-05-01 00:00:00","8925.562599999947"
5,"2020-05-01 00:00:00","2243.2342000000062"
1,"2020-06-01 00:00:00","49939.30090274123"
2,"2020-06-01 00:00:00","14297.354124999925"
3,"2020-06-01 00:00:00","11497.458212500249"
4,"2020-06-01 00:00:00","7058.062450000027"
5,"2020-06-01 00:00:00","1799.7971249999682"
1,"2020-07-01 00:00:00","90800.32441006601"
2,"2020-07-01 00:00:00","15962.984375"
3,"2020-07-01 00:00:00","12518.08203125"
4,"2020-07-01 00:00:00","7173.6875"
5,"2020-07-01 00:00:00","1808.3515625"
1,"2020-08-01 00:00:00","168350.25159978867"
2,"2020-08-01 00:00:00","22988.90625"
3,"2020-08-01 00:00:00","17285.8515625"
4,"2020-08-01 00:00:00","9584.78125"
5,"2020-08-01 00:00:00","2601.25"
1,"2020-09-01 00:00:00","218782.1766357422"
2,"2020-09-01 00:00:00","25911.21875"
3,"2020-09-01 00:00:00","18800.62890625"
4,"2020-09-01 00:00:00","9916.09375"
5,"2020-09-01 00:00:00","3035.09375"
1,"2020-10-01 00:00:00","250205.02978515625"
2,"2020-10-01 00:00:00","28739.21875"
3,"2020-10-01 00:00:00","21208.953125"
4,"2020-10-01 00:00:00","9966.9375"
5,"2020-10-01 00:00:00","3222.15625"
1,"2020-11-01 00:00:00","284536.5314941406"
2,"2020-11-01 00:00:00","40314.625"
3,"2020-11-01 00:00:00","25630.89453125"
4,"2020-11-01 00:00:00","14816.4375"
5,"2020-11-01 00:00:00","4266.5625"
1,"2020-12-01 00:00:00","297303.32373046875"
2,"2020-12-01 00:00:00","39988.62109375"
3,"2020-12-01 00:00:00","25145.31640625"
4,"2020-12-01 00:00:00","14832.3125"
5,"2020-12-01 00:00:00","3876.28125"
1,"2021-01-01 00:00:00","288233.404296875"
2,"2021-01-01 00:00:00","41808.04296875"
3,"2021-01-01 00:00:00","31883.515625"
4,"2021-01-01 00:00:00","15620.5"
5,"2021-01-01 00:00:00","4380.921875"
1,"2021-02-01 00:00:00","268774.466796875"
2,"2021-02-01 00:00:00","36828.05859375"
3,"2021-02-01 00:00:00","111956.365234375"
4,"2021-02-01 00:00:00","12750.8125"
5,"2021-02-01 00:00:00","3664.984375"
1,"2021-03-01 00:00:00","227477.8212890625"
2,"2021-03-01 00:00:00","34439.5859375"
3,"2021-03-01 00:00:00","121538.984375"
4,"2021-03-01 00:00:00","12756.3125"
5,"2021-03-01 00:00:00","3740.71875"
1,"2021-04-01 00:00:00","155990.943359375"
2,"2021-04-01 00:00:00","29034.51953125"
3,"2021-04-01 00:00:00","93150.03515625"
4,"2021-04-01 00:00:00","9611.8125"
5,"2021-04-01 00:00:00","3048.109375"
1,"2021-05-01 00:00:00","126066.7705078125"
2,"2021-05-01 00:00:00","19267.11328125"
3,"2021-05-01 00:00:00","68696.05078125"
4,"2021-05-01 00:00:00","6551.5625"
5,"2021-05-01 00:00:00","2119.4375"
1,"2021-06-01 00:00:00","106204.623046875"
2,"2021-06-01 00:00:00","12753.91796875"
3,"2021-06-01 00:00:00","44115.41015625"
4,"2021-06-01 00:00:00","5129.8125"
5,"2021-06-01 00:00:00","1324.921875"
1,"2021-07-01 00:00:00","115595.3603515625"
2,"2021-07-01 00:00:00","12857.6640625"
3,"2021-07-01 00:00:00","42452.890625"
4,"2021-07-01 00:00:00","6995.6875"
5,"2021-07-01 00:00:00","1281.890625"
1,"2021-08-01 00:00:00","175509.904296875"
2,"2021-08-01 00:00:00","22325.00390625"
3,"2021-08-01 00:00:00","80024.6328125"
4,"2021-08-01 00:00:00","11038.125"
5,"2021-08-01 00:00:00","2382.390625"
1,"2021-09-01 00:00:00","253400.748046875"
2,"2021-09-01 00:00:00","33549.734375"
3,"2021-09-01 00:00:00","111822.859375"
4,"2021-09-01 00:00:00","14110"
5,"2021-09-01 00:00:00","3564.984375"
1,"2021-10-01 00:00:00","299122.380859375"
2,"2021-10-01 00:00:00","37653.92578125"
3,"2021-10-01 00:00:00","123970.11328125"
4,"2021-10-01 00:00:00","14727.125"
5,"2021-10-01 00:00:00","3965.703125"
1,"2021-11-01 00:00:00","274232.048828125"
2,"2021-11-01 00:00:00","31009.3515625"
3,"2021-11-01 00:00:00","112007.58984375"
4,"2021-11-01 00:00:00","11725.8125"
5,"2021-11-01 00:00:00","3508.0625"
1,"2021-12-01 00:00:00","336921.716796875"
2,"2021-12-01 00:00:00","45906.8125"
3,"2021-12-01 00:00:00","141761.9375"
4,"2021-12-01 00:00:00","16555"
5,"2021-12-01 00:00:00","4970.578125"
1,"2022-01-01 00:00:00","330764.4921875"
2,"2022-01-01 00:00:00","42779.5078125"
3,"2022-01-01 00:00:00","143340.02734375"
4,"2022-01-01 00:00:00","16866.5"
5,"2022-01-01 00:00:00","4573.125"
1,"2022-02-01 00:00:00","279159.087890625"
2,"2022-02-01 00:00:00","39279.09375"
3,"2022-02-01 00:00:00","124842.203125"
4,"2022-02-01 00:00:00","14529.9375"
5,"2022-02-01 00:00:00","4197.515625"
1,"2022-03-01 00:00:00","254524.853515625"
2,"2022-03-01 00:00:00","38245.640625"
3,"2022-03-01 00:00:00","125308.53125"
4,"2022-03-01 00:00:00","16487.6875"
5,"2022-03-01 00:00:00","4052.953125"
1,"2022-04-01 00:00:00","134730.517578125"
2,"2022-04-01 00:00:00","18636.5078125"
3,"2022-04-01 00:00:00","64000.921875"
4,"2022-04-01 00:00:00","3441.8125"
5,"2022-04-01 00:00:00","1956.921875"
