"campuskey","sitekey","latitude","longitude","month","total_generation_kwh"
1,27,"-37.71828652","145.0509752","2020-01-01 00:00:00","52882.59366999997"
2,1,"-36.11120917","146.8486788","2020-01-01 00:00:00","16820.199000000313"
4,41,"-34.20528877","142.166556","2020-01-01 00:00:00","14548.34360000008"
3,12,"-36.77885832","144.3012321","2020-01-01 00:00:00","14277.656299999973"
2,2,"-36.11120917","146.8486788","2020-01-01 00:00:00","14034.622000000032"
3,7,"-36.77885832","144.3012321","2020-01-01 00:00:00","11286.718799999973"
2,3,"-36.11120917","146.8486788","2020-01-01 00:00:00","10632.071000000054"
3,10,"-36.77885832","144.3012321","2020-01-01 00:00:00","6705.253999999724"
5,42,"-36.38031889","145.4062897","2020-01-01 00:00:00","4658.265400000018"
3,13,"-36.77885832","144.3012321","2020-01-01 00:00:00","2331.5938000000024"
3,9,"-36.77885832","144.3012321","2020-01-01 00:00:00","1644.6659999999756"
1,27,"-37.71828652","145.0509752","2020-02-01 00:00:00","54404.46899999997"
2,1,"-36.11120917","146.8486788","2020-02-01 00:00:00","15546.525000000198"
2,2,"-36.11120917","146.8486788","2020-02-01 00:00:00","12949.122999999992"
3,12,"-36.77885832","144.3012321","2020-02-01 00:00:00","12289.812100000214"
4,41,"-34.20528877","142.166556","2020-02-01 00:00:00","11624.25"
2,3,"-36.11120917","146.8486788","2020-02-01 00:00:00","9880.361999999877"
3,7,"-36.77885832","144.3012321","2020-02-01 00:00:00","9785.187000000267"
3,13,"-36.77885832","144.3012321","2020-02-01 00:00:00","6720.093900000036"
3,10,"-36.77885832","144.3012321","2020-02-01 00:00:00","5805.992999999959"
5,42,"-36.38031889","145.4062897","2020-02-01 00:00:00","4173.366899999935"
3,9,"-36.77885832","144.3012321","2020-02-01 00:00:00","1358.0600000000122"
1,27,"-37.71828652","145.0509752","2020-03-01 00:00:00","53486.31200000015"
2,1,"-36.11120917","146.8486788","2020-03-01 00:00:00","15077.323000000382"
2,2,"-36.11120917","146.8486788","2020-03-01 00:00:00","13136.541999999929"
4,41,"-34.20528877","142.166556","2020-03-01 00:00:00","12615.906599999813"
3,12,"-36.77885832","144.3012321","2020-03-01 00:00:00","12235.594099999813"
3,7,"-36.77885832","144.3012321","2020-03-01 00:00:00","9944.40639999992"
2,3,"-36.11120917","146.8486788","2020-03-01 00:00:00","9469.467000000004"
3,13,"-36.77885832","144.3012321","2020-03-01 00:00:00","6740.953299999906"
3,10,"-36.77885832","144.3012321","2020-03-01 00:00:00","5770.930000000022"
5,42,"-36.38031889","145.4062897","2020-03-01 00:00:00","4214.375100000019"
1,35,"-37.71828652","145.0509752","2020-03-01 00:00:00","1585.9562652400011"
3,9,"-36.77885832","144.3012321","2020-03-01 00:00:00","1269.558000000041"
1,34,"-37.71828652","145.0509752","2020-03-01 00:00:00","881.7935047000002"
1,27,"-37.71828652","145.0509752","2020-04-01 00:00:00","35816.984400000045"
2,1,"-36.11120917","146.8486788","2020-04-01 00:00:00","10229.664000000164"
4,41,"-34.20528877","142.166556","2020-04-01 00:00:00","9037.718400000187"
2,2,"-36.11120917","146.8486788","2020-04-01 00:00:00","8982.81999999992"
3,12,"-36.77885832","144.3012321","2020-04-01 00:00:00","7579.093700000027"
3,7,"-36.77885832","144.3012321","2020-04-01 00:00:00","6731.875399999786"
2,3,"-36.11120917","146.8486788","2020-04-01 00:00:00","6289.180999999808"
3,13,"-36.77885832","144.3012321","2020-04-01 00:00:00","5260.1252000000095"
3,10,"-36.77885832","144.3012321","2020-04-01 00:00:00","3818.5449999998964"
5,42,"-36.38031889","145.4062897","2020-04-01 00:00:00","2849.437699999995"
1,35,"-37.71828652","145.0509752","2020-04-01 00:00:00","2348.7561019999994"
1,34,"-37.71828652","145.0509752","2020-04-01 00:00:00","1757.473635599999"
3,9,"-36.77885832","144.3012321","2020-04-01 00:00:00","759.7780000000057"
1,27,"-37.71828652","145.0509752","2020-05-01 00:00:00","22613.03139999992"
2,1,"-36.11120917","146.8486788","2020-05-01 00:00:00","8992.19000000006"
4,41,"-34.20528877","142.166556","2020-05-01 00:00:00","8925.562599999947"
2,2,"-36.11120917","146.8486788","2020-05-01 00:00:00","7283.359999999986"
3,12,"-36.77885832","144.3012321","2020-05-01 00:00:00","6461.9374000000535"
3,7,"-36.77885832","144.3012321","2020-05-01 00:00:00","5946.06220000016"
3,13,"-36.77885832","144.3012321","2020-05-01 00:00:00","5777.171900000016"
2,3,"-36.11120917","146.8486788","2020-05-01 00:00:00","5447.833999999915"
3,10,"-36.77885832","144.3012321","2020-05-01 00:00:00","3379.282999999996"
5,42,"-36.38031889","145.4062897","2020-05-01 00:00:00","2243.2342000000062"
1,35,"-37.71828652","145.0509752","2020-05-01 00:00:00","1880.7985810000018"
1,34,"-37.71828652","145.0509752","2020-05-01 00:00:00","1471.675291000001"
3,9,"-36.77885832","144.3012321","2020-05-01 00:00:00","688.7200000000012"
1,27,"-37.71828652","145.0509752","2020-06-01 00:00:00","15102.71889999992"
4,41,"-34.20528877","142.166556","2020-06-01 00:00:00","7058.062450000027"
2,1,"-36.11120917","146.8486788","2020-06-01 00:00:00","6185.52099999995"
2,2,"-36.11120917","146.8486788","2020-06-01 00:00:00","4623.482124999951"
1,15,"-37.71828652","145.0509752","2020-06-01 00:00:00","4172.761154021875"
3,7,"-36.77885832","144.3012321","2020-06-01 00:00:00","4076.562300000107"
2,3,"-36.11120917","146.8486788","2020-06-01 00:00:00","3488.351000000024"
1,24,"-37.71828652","145.0509752","2020-06-01 00:00:00","3230.3352449791255"
1,33,"-37.71828652","145.0509752","2020-06-01 00:00:00","3026.2381723212493"
3,10,"-36.77885832","144.3012321","2020-06-01 00:00:00","2741.3129999999655"
1,31,"-37.71828652","145.0509752","2020-06-01 00:00:00","2695.477414890624"
1,20,"-37.71828652","145.0509752","2020-06-01 00:00:00","2492.649665218124"
1,40,"-37.71828652","145.0509752","2020-06-01 00:00:00","2223.503729328125"
3,13,"-36.77885832","144.3012321","2020-06-01 00:00:00","2220.468625000067"
1,22,"-37.71828652","145.0509752","2020-06-01 00:00:00","2099.0254300700003"
3,12,"-36.77885832","144.3012321","2020-06-01 00:00:00","1906.1873500000802"
1,14,"-37.71828652","145.0509752","2020-06-01 00:00:00","1853.945663075"
5,42,"-36.38031889","145.4062897","2020-06-01 00:00:00","1799.7971249999682"
1,38,"-37.71828652","145.0509752","2020-06-01 00:00:00","1495.641362581688"
1,37,"-37.71828652","145.0509752","2020-06-01 00:00:00","1452.2565963731267"
1,35,"-37.71828652","145.0509752","2020-06-01 00:00:00","1418.9340819687486"
1,36,"-37.71828652","145.0509752","2020-06-01 00:00:00","1381.7114421711253"
1,17,"-37.71828652","145.0509752","2020-06-01 00:00:00","1351.7392443915621"
1,26,"-37.71828652","145.0509752","2020-06-01 00:00:00","1177.0312248962503"
1,34,"-37.71828652","145.0509752","2020-06-01 00:00:00","1165.8461954375025"
1,21,"-37.71828652","145.0509752","2020-06-01 00:00:00","1024.5789155239065"
1,32,"-37.71828652","145.0509752","2020-06-01 00:00:00","1014.5505033129072"
1,19,"-37.71828652","145.0509752","2020-06-01 00:00:00","839.1422733179686"
1,25,"-37.71828652","145.0509752","2020-06-01 00:00:00","721.213688862356"
3,9,"-36.77885832","144.3012321","2020-06-01 00:00:00","552.9269375000295"
1,27,"-37.71828652","145.0509752","2020-07-01 00:00:00","21453"
1,25,"-37.71828652","145.0509752","2020-07-01 00:00:00","15906.423522949219"
1,19,"-37.71828652","145.0509752","2020-07-01 00:00:00","7404.8675537109375"
4,41,"-34.20528877","142.166556","2020-07-01 00:00:00","7173.6875"
2,1,"-36.11120917","146.8486788","2020-07-01 00:00:00","6806.28125"
1,18,"-37.71828652","145.0509752","2020-07-01 00:00:00","5671.730958938599"
2,2,"-36.11120917","146.8486788","2020-07-01 00:00:00","5209.640625"
1,24,"-37.71828652","145.0509752","2020-07-01 00:00:00","4209.455322265625"
3,13,"-36.77885832","144.3012321","2020-07-01 00:00:00","4065.578125"
3,12,"-36.77885832","144.3012321","2020-07-01 00:00:00","3965.0625"
2,3,"-36.11120917","146.8486788","2020-07-01 00:00:00","3947.0625"
1,33,"-37.71828652","145.0509752","2020-07-01 00:00:00","3858.646240234375"
1,31,"-37.71828652","145.0509752","2020-07-01 00:00:00","3418.0419921875"
1,20,"-37.71828652","145.0509752","2020-07-01 00:00:00","3255.602294921875"
1,15,"-37.71828652","145.0509752","2020-07-01 00:00:00","3218.62890625"
1,40,"-37.71828652","145.0509752","2020-07-01 00:00:00","2820.242431640625"
3,10,"-36.77885832","144.3012321","2020-07-01 00:00:00","2792.4375"
1,14,"-37.71828652","145.0509752","2020-07-01 00:00:00","2778.56640625"
1,22,"-37.71828652","145.0509752","2020-07-01 00:00:00","2692.719482421875"
1,38,"-37.71828652","145.0509752","2020-07-01 00:00:00","2143.0069580078125"
1,37,"-37.71828652","145.0509752","2020-07-01 00:00:00","1929.450439453125"
1,17,"-37.71828652","145.0509752","2020-07-01 00:00:00","1829.2391357421875"
5,42,"-36.38031889","145.4062897","2020-07-01 00:00:00","1808.3515625"
1,36,"-37.71828652","145.0509752","2020-07-01 00:00:00","1801.7872314453125"
1,26,"-37.71828652","145.0509752","2020-07-01 00:00:00","1471.096435546875"
1,21,"-37.71828652","145.0509752","2020-07-01 00:00:00","1344.0372314453125"
1,32,"-37.71828652","145.0509752","2020-07-01 00:00:00","1329.06396484375"
1,35,"-37.71828652","145.0509752","2020-07-01 00:00:00","1135.0849609375"
3,7,"-36.77885832","144.3012321","2020-07-01 00:00:00","1133.84375"
1,34,"-37.71828652","145.0509752","2020-07-01 00:00:00","927.85595703125"
3,9,"-36.77885832","144.3012321","2020-07-01 00:00:00","561.16015625"
1,29,"-37.71828652","145.0509752","2020-07-01 00:00:00","111.28799682855606"
1,28,"-37.71828652","145.0509752","2020-07-01 00:00:00","90.48898701369762"
1,27,"-37.71828652","145.0509752","2020-08-01 00:00:00","34258.15625"
1,25,"-37.71828652","145.0509752","2020-08-01 00:00:00","29360.314453125"
1,19,"-37.71828652","145.0509752","2020-08-01 00:00:00","15136.8515625"
1,18,"-37.71828652","145.0509752","2020-08-01 00:00:00","13073.837890625"
